"username","description"
"steve060162","I love footy eagles are the https://t.co/iPPUbAsd9c a WA boy living in the sporting capital Melbourne VIC #just a Perth boy just killing time"
"GarlicRush","Dog lover #Music #Memes #Horror #RushFamily #Kansas #TomPetty #ChrisCornell #Nipple #YoungstownOH #Buckeyes #LegalizeWeed #LessGovernment #Nonpartisan :flag: U.S. Outlying Islands:"
"SheriSpain","Happy when gardening, owned by at least 2 kitties, compulsive reader/learner, elder advocate. Grammy :blue heart::blue heart::blue heart: #RedSox. #Patriots. #NeverAgain #MeToo:sunflower::blue heart::yellow heart::flag: Ukraine:"
"MelonyWilkes",""
"ABurdDesigns","I love Jesus. 

Designer. Creator. Traveler. Lover. Dreamer. I believe in grace."
"VSPC","Let’s make every day a beach day. Let’s reconnect. Let’s dig in al fresco. Let’s marvel at masterpieces. Let’s shine in St. Pete/Clearwater, Florida.  :sun::palm tree::beach with umbrella:"
"robexplores","https://t.co/JrvXpu9OEt is about exploring life with a photographer and writer. See what he sees. Experience life with him. #Travel #Food #Birds #Beach #Nature"
"lisa33710","Army brat, free spirit. Nevertheless she persisted. Millennials are the largest voting  cohort. Opinions are correct. #bluewave
 #resistance"
"SpringMorning74","Hoosier/Gator Project Manager Env Scientist &Engineer, Puerto Rican and Voter. We can't let Evil stand. she/her"
"Pier60ClwBeach","#1 Beach in America :desert island: Clearwater Beach"
"BarefootBeachH",""
"jorel_ed","Social Media Channel Mgr. for @TampaElectric; BFA Illus. @UArts. Design at Art Inst. of Phila. @LSCHS. Philly-@CityofDunedin. Tweets are mine. :flag: Sint Maarten: :flag: United States:"
"Sawyer_Brown","I am destined for greatness. I am here to make the world a better place. Husband, Father, Wisconsin born, & Florida living."
"Moorenewz","Special projects producer Fox 13 Tampa, Care Force :blue heart:, USF Bull :sign of the horns:, Bucs & Bolts fan :american football::high voltage:️"
"OnTheRumFishing","Just an off shore fishing team trying to figure out how to fish off shore."
"GoSuncoast","Clearwater realtors, Florida realty helps buy homes and buy second home, Real estate search helps sellers sell home. Buy and sell international real estate."
"PinellasGov","Pinellas County government's latest news, events, photos, video and general information. We're on the #GulfOfMexico and #TampaBay on the west coast of #Florida."
"CWBCam","The view of Clearwater Beach and Pier 60 from the Hilton Clearwater Beach Hotel, updated every couple minutes."
"DTIRoadLife","Curating amazing experiences on the American road for you. Retired journalist, author, and blogger for more than 2 decades. Bonnaroo to Baraboo."
"MielcarekMonica",":cherry blossom:Pediatric/Fetal Cardiac Sonographer III. Love being a Mom, 80’s girl at heart, grounded in Cleveland & Indian Rocks Beach, vaccinated:cherry blossom:"
"cljohnst","Storyteller. Adventure seeker. Slow runner. Avid reader. Recovering journalist. Take me to the mountains, please. :snow-capped mountain: :tumbler glass: :books:"
"ChristieZizo","Webberizing for @news6wkmg. Formerly @mynews13. Howls with hounds | Political snark | violinist | #ds9 fan | #sidcity | @ChristieZ@newsie.social"
"TampaBayKJT","Tampa native stuck living in SW FL • Retirement countdown • HUGE Rays Fan • Former Group Fitness Instructor • Breast Cancer Awareness Advocate • Sober 1/19/91"
"ProducerJackie","(she/her) Born & raised FL woman. Gator Grad & @CNN Line Producer. Just trying to visit all 7 continents."
"ajsileo914","Music is my passion Lv almost any kind.Pop culture theatre comedy also a news n politic junkie Iv2 learn day by day LV SETH MACFARLANE,ROD STEWART, NJERSEY BOYS"
"tango_2",""
"zoomiesbarb","'More women are murdering people these days,' says Joyce. 'If you ignore the context, it is a real sign of progress.'

#RaysUp #GoBolts #FunWithCars #1 bullshit"
"dburns813",""
"conundrum20","#entertainer
IG- CONUNDRUM1205
Cashapp- $conundrumfl"
"WFLAMelissaM","Reporter/Anchor @WFLA NBC covering Tampa, Florida | Pennsylvania native | lover of :sun: | Retweets ≠ endorsements | Story idea? Message me!"
"JamelLaneeTV","Hello Tampa Bay!! Former PIO, reporter, fill-in anchor turned PR Strategist!"
"intelwilley",""
"US_Adrift","Documenting how communities change over time. #USAdrift #StPete https://t.co/vwEftC0Ffd 501(c)(3) Nonprofit. Facebook: @USAdrft  Instagram: @us_adrift"
"miamicane4",""
"ChampaBayMel","Tampa girl:palm tree:Love our FL beaches:sun:Dog mom Longtime @WFLA Anchor • @LSU wife/@UF hubs Positivity• Say hi:backhand index pointing down: I:red heart:@TBLightning @Buccaneers melaniekmichael@gmail.com"
"sandkeyresort","Our award-winning resort sits on 13 private acres and leads to tropical warm waters of the Gulf of Mexico.   No resort fee and free parking!"
"traveletech","It's the journey that counts, not the destination.:airplane:"
"AmericanandDem","Mom, dog mom, attorney, :flag: United States:."
"CubanGreenEyez","Yes Im Cuban, yes I have green eyes....any other questions?

Always do good and good will follow you!"
"mamadee37","ME...just a chick with a couple of kids and a hottie for a husband. Life's damn good"
"Plaguelizer","The most trending news about the Plague app as collected by Trendolizer"
"Elliot_Consult","Business resiliency expert specializing in contingency planning, emergency response, and disaster recovery programs for businesses. Based in Tampa, FL"
"953WDAE","Tampa Bay's Best & Only Sports Radio Station | :radio: Flagship @RaysBaseball & @RaysRadio + Best @Buccaneers @TBLightning @USFAthletics Coverage & More!"
"933FLZ","TAMPA BAY’S #1 HIT MUSIC CHANNEL :pirate flag: || Follow: @LiveWithJoeShow @katieradio1 @iAmNickWize @ItIsMeEJ @brianfink"
"tampabaysmix","Tampa Bay’s Best Variety of the 80s, 90s, 2000s & Today!"
"US1035","Tampa Bay’s #1 For New Country! | @bobbybonesshow mornings | Contest & Request Line 888-405-1035 | Online: https://t.co/KOT0Ib0se9"
"septiceyesandra",""
"lilportugueses1","Steve’s Wife :ring: AJ & Ali’s Mom :family: woman, girl, boy: Born a California Girl, Raised In Indiana & Living In Florida :palm tree::sun with face:"
"JONWEILAND1",""
"fdaia1","Também responsável pelo site https://t.co/osO2Ty2foW"
"louloupouli",""
"CapitanQuijote","Liberty, Sancho, my friend, is one of the most precious gifts that Heaven has bestowed on mankind -Don Quijote"
"TampaSpin","Tampa Living and loving it.  Also have a Webstie you might like to help with those Hurricanes, Tropical, and Severe Weather"
"smittyseast","Presbyterian Veteran WAC
Mom/3 GMom/4
TeamRubicon #GSD"
"CBakes412","Keep your head held high & your middle finger higher! Pittsburgh:airplane:Chicago:airplane arrival:Clearwater :two hearts: #BLM #musicislife #loveislove #fightforwhatsright #greecelover:blue heart::flag: Greece:"
"ActuallyJWD","it's me"
"tampanancy9","All about Science, Beaches, and NASA/NOAA/ESA Space and Climate Research, because I was raised by nerds on the oceanfront near Kennedy Space Center"
"WiLD941","The Bay's Party Station - listen online or download our app: https://t.co/u2tc1Ned6p"
"malthus500","Immunologist, Musician, Traveler....in no particular order"
"SeanStreicher","Morning anchor at @FOX43, surfer, snowboarder and Philly sports fan."
"ebsworthmomo","Interior Designer, Favorite Musical Artists-   The Texas Tenors @thetexastenors Marcus Collins, JC Fisher and John Hagen https://t.co/XsA6ChfQeb 
 letgoletGOD"
"YTPTampa","We're a network of young professionals in the travel & hospitality industry in Tampa. Join our free local monthly meet ups."
"fergenbomb","Snapchat: Fergenbomb"
"tbhallock","Teacher-scholar-writer-gardener-dad. Transplanted New Yorker, Professor of English & Florida Studies @USF. #RoadCourse #Creekshed #CityWilds. I try to do good."
"LeahHarvard","make someone smile today"
"civilrights_lit","Writes/edits books on civil rights literature + pedagogy. Next: Learning from Birmingham @UnivofALPress. #NYU grad, #USF prof, opinions my own"
"sdbstill","Bklyn born & made, surviving as a yankee/dem transplant in the red south. Send help! (BA/Journalism; MBA; 13 yrs w/ BIG Insurance) :peace symbol: :rainbow:"
"KevinTWho","I have Rats in the Cellar & Toys in the Attic.  #TimeToShine #GoPackGo #Aerosmith #DisturbedOne  #AdoptDontShop Epstein Didn't Kill Himself #FreeAssange"
"SuncoastNews","The Suncoast News is committed to bringing readers up to date on local news and sports impacting Pasco, Pinellas and Hernando counties."
"CityofDunedinFl","Dunedin is a mix of “Old Florida” with a lively downtown, award-winning restaurants, craft breweries & vibrant art scene just west of Tampa."
"FloridaBeachUS","Blue Wave :water wave:"
"RafaloskiJudi","Grandmother of 5 beautiful boys.  Spiritual. Retired medical worker, Retired Volunteer for Hospice and Community Access Documentaries Producer."
"Lynnmrogers1000","USCG Veteran, proud woman for Trump #KAG2O2O"
"ConnieRatliff17","From Cleveland, Ohio. Fan of The Browns, Cavaliers, Indians, Ohio State Buckeyes. My cat Baby went over the :rainbow: bridge 1/10/2021"
"RuthEdick","Inquisitive, programming, love animals, science, life in balance, being creative, outlier...
4ft11in
'Normal' people scare me &
running away is always an option"
"MZazeela","Shipping and mailing to the world. No place is too far or too near! https://t.co/YErD7QobsG  https://t.co/YEgFhV3aqb"
"JannyMir","“Pessimism leads to weakness, optimism to power.” #RemoteWorker #UnderwritingDirector #LifeInsurance #Paralegal #RaysUp :baseball:️ #GoBolts:ice hockey:#GoBucs :american football: #Rowdies:soccer ball:️"
"amattox24","former Floridian. forever a Hoosier.  :sunglasses::sun: :palm tree::bottle with popping cork::victory hand: medium-light skin tone::running shoe::dog face::globe showing Americas::sparkles::red heart::musical notes:"
"RealCohanlan","entrepreneur, big timer"
"downey1950_w","Retired.Gardener,reader,tv freak,swimmer,counselor,friend, #RESIST NO DMs PLEASE"
"HarveyMyersIv","Musician, Software developer, Dad."
"arminhamidian","Affiliate Marketing & Finance Advisor , Business Promotion , Network Marketing..Write your queries to: arminhamidian@aol.com"
"Diandra_loux",":television: Reporter | @TBLightning & @Buccaneers | :studio microphone: ESPN SW Florida | Previously: @nbc & @SINow | Dog Mom to Steve |:mobile phone:Insta: Diandraloux"
"luvallbeings","I provide pet sitting services to be there for your pets while you are away.I am licensed, bonded and insured."
"spcnews","Official Twitter for St. Petersburg College! This account is monitored Monday through Friday, 9 a.m. to 5 p.m. except during scheduled closures. :blue heart::trident emblem::yellow heart:"
"FatherGator","Proud father of Engineering #Gator, life-long Floridan and @UFJSchool alum. #Florida economy, environment, education, science and tech news. #Bitcoin"
"isa97","World citizen, from planet earth, living in Paris, animal lover, photogaph, green, democrat, news, France, Guadeloupe, Puerto Rico , Caribbean, world..."
"emilynbradshaw","Digital Content Producer @abcactionnews, @USouthFlorida grad, twin mom"
"Hernandez_A","Product management, sales, tech, startup, marketing, strategy, foodie, improv, politics, music, travel and winning"
"Tammy",":speaking head: PR pro
:house: ANC Commish 3C06
:studio microphone: Co-Host @MoveFeastPod 
:wine glass: Advisor, https://t.co/Ppr1xYeCEl, Co-Founder, https://t.co/9Piq9ECvCa #WSET2 
:books: Board, @LoveDCLibrary"
"peprstrange","No tolerance for bigotry of any flavor with the exception of anti-vaxers.. Lists no bueno. BLM!"
"angeltrain","Angel-in-training"
"artbydebby","Organic and free....
Those who make peaceful revolution impossible will make violent revolution inevitable.
JFK 1962"
"Miri81","She/Her Miami native :palm tree: FIU :cat face: Marlins :baseball: Dolphins :dolphin: Panthers :ice hockey: Heat :fire: WDW AP :castle: #PawsUp #305"
"glitterpixie",""
"FLAquamaids",""
"joseoboe",""
"NKing57","Freelance Journalist, Radio Commentator, Floridian unapologetic liberal. #Resist"
"roest_dave","Widowed 7years veteran 82nd airborne"
"PeruNewsTV","#ÚltimaHora | Fuente de noticias #DinaBoluarte #Corea #Ucrania #Rusia #Política #China @elcomercio_peru @larepublica_pe #PedroCastillo #Puno @congresoperu"
"FloridaTweetzzz",""
"MiamiNewsDaily","RTs of daily City of Miami news."
"AustinHyslipTV","Communications || Marketing || Storyteller || Public Relations"
"KODEnews","KODE Action 12 News is the ABC affiliate in Joplin, MO."
"KSNLocalNews","KSN Local News is the NBC affiliate in Joplin, MO"
"DebLeClercq","Owner of St Pete Smile - For a beautiful whiter brighter smile!       Arts lover - sailor- book & music lover- beach and ocean enthusiast"
"RobinsonMikeD","SCIF Manager | Instructor, Strat Guidance & Space Ops, USAFCENT, Shaw AFB, SC. Retired USAF, Husband/Father, NASCAR: RFK Racing, Team Penske & Wood Brothers!"
"TIMBChamber","Treasure Island & Madeira Beach -- THE place to be in Pinellas County! Our Chamber is happy to help residents, visitors, and businesses make the most of it!"
"PGuzzoTimes","Tampa Bay Times reporter, author, indie filmmaker, husband of a super hot wife and stressed out father of four."
"GPMDistrict","The Marina District, a neighborhood in Gulfport, Florida, is a place to enjoy the amenities of a charming, friendly, waterfront community near world-class beach"
"OneillsMarina",""
"PinellaSeaGrant","Find me LinkedIn: Sharing marine and coastal resources. combat misinformation by checking sources before sharing. call 988 if struggling w mental health."
"radloff52",""
"flanewsonline","The conservative choice for Florida news & politics."
"SamanthaJoRoth","Covering Congress & Campaigns for @dcexaminer. @UArizona alum. PHX :right arrow:DSM:right arrow:DC :envelope with arrow: sroth@washingtonexaminer.com"
"souffan21","Independent...fiscally conservative .. socially liberal Jewish... pro Israel .pro law & order, love legal immigration, capitalist. Happy Grandma.."
"C_M_Boyd","Assignment Editor for @BN9, @UofTampa alum, #Film & #Documentaries, #Chicago Native, #Tampa Resident, Occasional #Writer"
